index,genre
5.wav,reggae
269.wav,disco
433.wav,classical
410.wav,blues
56.wav,pop
91.wav,classical
450.wav,blues
349.wav,classical
474.wav,classical
70.wav,pop
54.wav,blues
104.wav,metal
280.wav,pop
446.wav,pop
135.wav,metal
355.wav,blues
261.wav,disco
449.wav,reggae
74.wav,hiphop
283.wav,classical
337.wav,pop
64.wav,metal
242.wav,country
377.wav,disco
93.wav,blues
23.wav,jazz
451.wav,metal
202.wav,reggae
489.wav,classical
289.wav,classical
128.wav,disco
372.wav,hiphop
365.wav,pop
415.wav,disco
305.wav,classical
189.wav,blues
434.wav,blues
25.wav,jazz
416.wav,classical
388.wav,rock
169.wav,pop
398.wav,disco
149.wav,metal
206.wav,reggae
183.wav,classical
383.wav,blues
213.wav,classical
36.wav,rock
467.wav,disco
352.wav,pop
303.wav,country
38.wav,blues
222.wav,pop
353.wav,classical
204.wav,blues
414.wav,blues
496.wav,classical
82.wav,classical
406.wav,reggae
266.wav,country
426.wav,pop
457.wav,disco
476.wav,metal
176.wav,metal
92.wav,disco
166.wav,pop
322.wav,classical
276.wav,reggae
300.wav,country
41.wav,metal
155.wav,pop
499.wav,blues
34.wav,pop
487.wav,metal
404.wav,jazz
146.wav,pop
343.wav,metal
203.wav,blues
245.wav,rock
195.wav,blues
210.wav,classical
55.wav,metal
229.wav,hiphop
207.wav,metal
8.wav,blues
412.wav,classical
314.wav,disco
431.wav,metal
57.wav,pop
199.wav,pop
393.wav,classical
188.wav,pop
460.wav,blues
361.wav,classical
490.wav,disco
495.wav,reggae
0.wav,pop
184.wav,jazz
308.wav,disco
232.wav,disco
133.wav,classical
497.wav,pop
350.wav,classical
421.wav,rock
379.wav,pop
397.wav,metal
311.wav,pop
47.wav,pop
332.wav,pop
14.wav,metal
81.wav,metal
482.wav,pop
68.wav,reggae
251.wav,classical
21.wav,country
217.wav,jazz
197.wav,metal
323.wav,jazz
407.wav,pop
234.wav,pop
10.wav,pop
285.wav,blues
58.wav,reggae
481.wav,blues
241.wav,blues
334.wav,blues
243.wav,pop
27.wav,pop
395.wav,country
405.wav,country
331.wav,pop
325.wav,classical
142.wav,classical
313.wav,reggae
44.wav,pop
12.wav,country
144.wav,classical
22.wav,classical
190.wav,jazz
139.wav,classical
1.wav,metal
288.wav,metal
456.wav,country
270.wav,rock
307.wav,country
83.wav,blues
6.wav,metal
408.wav,classical
491.wav,disco
177.wav,blues
425.wav,metal
419.wav,pop
443.wav,blues
67.wav,pop
225.wav,pop
411.wav,pop
130.wav,country
172.wav,pop
483.wav,metal
60.wav,jazz
179.wav,metal
339.wav,metal
24.wav,metal
329.wav,pop
466.wav,country
112.wav,blues
164.wav,jazz
420.wav,pop
336.wav,reggae
88.wav,blues
293.wav,pop
65.wav,pop
271.wav,reggae
97.wav,metal
53.wav,pop
71.wav,pop
126.wav,blues
422.wav,jazz
19.wav,reggae
367.wav,blues
117.wav,reggae
191.wav,disco
238.wav,blues
342.wav,pop
455.wav,blues
110.wav,pop
319.wav,blues
227.wav,classical
40.wav,jazz
49.wav,reggae
52.wav,disco
161.wav,rock
357.wav,blues
31.wav,pop
324.wav,metal
84.wav,jazz
119.wav,pop
368.wav,reggae
108.wav,reggae
316.wav,pop
246.wav,pop
330.wav,blues
141.wav,hiphop
312.wav,country
175.wav,metal
150.wav,pop
298.wav,jazz
292.wav,country
37.wav,blues
447.wav,blues
160.wav,reggae
158.wav,pop
423.wav,pop
384.wav,jazz
223.wav,blues
32.wav,country
240.wav,hiphop
186.wav,pop
157.wav,classical
86.wav,metal
386.wav,pop
463.wav,hiphop
453.wav,metal
358.wav,reggae
90.wav,disco
291.wav,classical
279.wav,disco
73.wav,classical
479.wav,hiphop
381.wav,classical
344.wav,metal
391.wav,classical
192.wav,reggae
99.wav,pop
147.wav,classical
231.wav,hiphop
399.wav,pop
286.wav,classical
113.wav,pop
387.wav,pop
448.wav,classical
428.wav,classical
162.wav,country
216.wav,reggae
17.wav,pop
304.wav,pop
154.wav,jazz
284.wav,rock
458.wav,pop
469.wav,country
89.wav,classical
351.wav,metal
277.wav,hiphop
401.wav,classical
396.wav,blues
373.wav,classical
123.wav,blues
264.wav,pop
185.wav,pop
42.wav,jazz
477.wav,classical
326.wav,metal
375.wav,blues
278.wav,classical
239.wav,blues
335.wav,rock
7.wav,disco
430.wav,metal
187.wav,blues
215.wav,country
382.wav,pop
59.wav,metal
236.wav,blues
473.wav,hiphop
134.wav,blues
221.wav,classical
409.wav,reggae
140.wav,metal
494.wav,metal
252.wav,classical
255.wav,country
248.wav,rock
310.wav,pop
180.wav,pop
137.wav,pop
100.wav,reggae
95.wav,pop
178.wav,pop
48.wav,rock
485.wav,metal
118.wav,disco
294.wav,blues
230.wav,reggae
281.wav,reggae
439.wav,blues
200.wav,reggae
214.wav,classical
173.wav,disco
437.wav,blues
452.wav,metal
165.wav,classical
360.wav,metal
348.wav,jazz
159.wav,metal
211.wav,blues
145.wav,classical
320.wav,reggae
464.wav,reggae
218.wav,pop
345.wav,pop
328.wav,blues
85.wav,metal
454.wav,hiphop
152.wav,pop
16.wav,classical
470.wav,classical
78.wav,jazz
380.wav,blues
260.wav,classical
424.wav,country
306.wav,classical
182.wav,country
301.wav,blues
201.wav,hiphop
309.wav,disco
338.wav,classical
484.wav,metal
120.wav,classical
