index,genre
240.wav,rock
186.wav,country
157.wav,classical
86.wav,reggae
386.wav,hiphop
463.wav,pop
453.wav,hiphop
358.wav,rock
90.wav,classical
291.wav,classical
279.wav,pop
73.wav,hiphop
479.wav,rock
381.wav,reggae
344.wav,hiphop
391.wav,disco
192.wav,hiphop
99.wav,rock
147.wav,hiphop
231.wav,country
399.wav,rock
286.wav,disco
113.wav,pop
387.wav,disco
448.wav,rock
428.wav,blues
162.wav,hiphop
216.wav,classical
17.wav,rock
304.wav,classical
154.wav,classical
284.wav,disco
458.wav,metal
469.wav,jazz
89.wav,classical
351.wav,blues
277.wav,disco
401.wav,hiphop
396.wav,metal
373.wav,country
123.wav,classical
264.wav,hiphop
185.wav,metal
42.wav,country
477.wav,pop
326.wav,reggae
375.wav,country
278.wav,disco
239.wav,reggae
335.wav,jazz
7.wav,classical
430.wav,hiphop
187.wav,metal
215.wav,rock
382.wav,disco
59.wav,country
236.wav,classical
473.wav,rock
134.wav,rock
221.wav,country
409.wav,hiphop
140.wav,reggae
494.wav,country
252.wav,pop
255.wav,blues
248.wav,pop
310.wav,reggae
180.wav,hiphop
137.wav,country
100.wav,metal
95.wav,jazz
178.wav,hiphop
48.wav,metal
485.wav,blues
118.wav,hiphop
294.wav,country
230.wav,rock
281.wav,rock
439.wav,hiphop
200.wav,reggae
214.wav,blues
173.wav,rock
437.wav,blues
452.wav,disco
165.wav,metal
360.wav,hiphop
348.wav,blues
159.wav,jazz
211.wav,reggae
145.wav,hiphop
320.wav,hiphop
464.wav,hiphop
218.wav,metal
345.wav,jazz
328.wav,rock
85.wav,blues
454.wav,jazz
152.wav,disco
16.wav,rock
470.wav,hiphop
78.wav,classical
380.wav,rock
260.wav,blues
424.wav,disco
306.wav,country
182.wav,disco
301.wav,rock
201.wav,classical
309.wav,hiphop
338.wav,pop
484.wav,jazz
120.wav,classical
